time,action,symbol,reqQty,beforeNet,afterNet,result
14:48:16,SELL,NIFTY26JUL23750PE,65,65,0,CONFIRMED
14:48:16,BUY,NIFTY26JUL24250CE,65,0,65,CONFIRMED
14:50:30,SELL,NIFTY26JUL24250CE,65,65,0,CONFIRMED
14:50:35,BUY,NIFTY26JUL23750PE,65,0,130,NOT_CONFIRMED
14:50:35,BUY,NIFTY26JUL23750PE,0,130,130,SKIP_DUP
14:52:04,SELL,NIFTY26JUL23750PE,65,130,0,NOT_CONFIRMED
14:52:05,BUY,NIFTY26JUL24250CE,0,65,65,SKIP_DUP
14:52:50,SELL,NIFTY26JUL24250CE,65,0,0,NOT_CONFIRMED
14:52:51,BUY,NIFTY26JUL23750PE,65,0,65,CONFIRMED
14:56:26,BUY,NIFTY26JUL24100CE,65,0,65,CONFIRMED
14:57:31,SELL,NIFTY26JUL24100CE,65,65,0,CONFIRMED
14:57:31,BUY,NIFTY26JUL23900PE,65,0,65,CONFIRMED
14:58:16,SELL,NIFTY26JUL23900PE,65,65,0,CONFIRMED
14:58:17,BUY,NIFTY26JUL24100CE,65,0,65,CONFIRMED
14:59:47,SELL,NIFTY26JUL24100CE,65,65,0,CONFIRMED
14:59:48,BUY,NIFTY26JUL23900PE,65,0,65,CONFIRMED
15:00:12,SELL,NIFTY26JUL23900PE,65,65,0,CONFIRMED
15:00:12,BUY,NIFTY26JUL24100CE,65,0,65,CONFIRMED
15:02:51,SELL,NIFTY26JUL24100CE,65,65,0,CONFIRMED
15:02:52,BUY,NIFTY26JUL23900PE,65,0,65,CONFIRMED
15:11:13,SELL,NIFTY26JUL23900PE,65,65,0,CONFIRMED
15:11:14,BUY,NIFTY26JUL24100CE,65,0,65,CONFIRMED
